pay1,pay2
"[{'base_pay': 686531.24}, {'shift_loading': 158337.23}, {'net': 510601.26}, {'kiwi saver employee':
25346.06}, {'ird_number': 52148169}, {'future_total_positions': 1}]","[{'base_pay': 491658.29},
{'shift_loading': 71505.32}, {'net': 343601.98}, {'SG': 67579.63}, {'emp_number':
29764817766792}, {'future_total_positions': 1}]"
"[{'base_pay': 4713.9}, {'shift_loading': 431.19}, {'net': 4950.51}, {'kiwi saver employee': 154.35},
{'ird_number': 58240931}, {'future_total_positions': 19}]","[{'base_pay': 3003.55}, {'shift_loading':
339.74}, {'net': 3343.29}, {'SG': 401.19}, {'emp_number': 29888963946595},
{'future_total_positions': 29}]"
"[{'base_pay': 12685.28}, {'shift_loading': 2426.04}, {'net': 13045.51}, {'kiwi saver employee':
453.34}, {'ird_number': 102536924}, {'future_total_positions': 6}]","[{'base_pay': 8913.95},
{'shift_loading': 704.56}, {'net': 9618.51}, {'SG': 1154.22}, {'emp_number': 30848388986318},
{'future_total_positions': 10}]"
"[{'base_pay': 30526.55}, {'shift_loading': 10399.94}, {'net': 33591.44}, {'kiwi saver employee':
1227.79}, {'ird_number': 67272366}, {'future_total_positions': 2}]","[{'base_pay': 20221.15},
{'shift_loading': 7039.85}, {'net': 25811.24}, {'SG': 3271.32}, {'emp_number': 75026093455037},
{'future_total_positions': 3}]"
"[{'base_pay': 28591.88}, {'shift_loading': 19706.93}, {'net': 35477.43}, {'kiwi saver employee':
1298.96}, {'ird_number': 120112821}, {'future_total_positions': 2}]","[{'base_pay': 18410.18},
{'shift_loading': 8855.41}, {'net': 25815.09}, {'SG': 3271.87}, {'emp_no': 39635620204546},
{'future_total_positions': 3}]"
"[{'base_pay': 36003.49}, {'shift_loading': 12681.83}, {'net': 39731.34}, {'kiwi saver employee':
1460.56}, {'ird_number': 138113450}, {'future_total_positions': 2}]","[{'base_pay': 22997.45},
{'shift_loading': 9259.79}, {'net': 30008.08}, {'SG': 3870.87}, {'emp_number': 15567044316147},
{'future_total_positions': 3}]"
"[{'base_pay': 43628.93}, {'shift_loading': 15007.48}, {'net': 46801.08}, {'kiwi saver employee':
1759.09}, {'ird_number': 44157551}, {'future_total_positions': 1}]","[{'base_pay': 29798.49},
{'shift_loading': 8568.28}, {'net': 35140.09}, {'SG': 4604.01}, {'emp_number': 81405186003340},
{'future_total_positions': 2}]"
"[{'base_pay': 76706.46}, {'shift_loading': 11111.22}, {'net': 65980.81}, {'kiwi saver employee':
2634.53}, {'ird_number': 130828683}, {'future_total_positions': 1}]","[{'base_pay': 52569.36},
{'shift_loading': 5726.73}, {'net': 50019.27}, {'SG': 6995.53}, {'emp_number': 73521995254319},
{'future_total_positions': 1}]"
"[{'base_pay': 75735.98}, {'shift_loading': 13996.64}, {'net': 67206.37}, {'kiwi saver employee':
2691.98}, {'ird_number': 146498809}, {'future_total_positions': 1}]","[{'base_pay': 54314.83},
{'shift_loading': 5017.51}, {'net': 50744.64}, {'SG': 7119.88}, {'emp_number': 56576671328778},
{'future_total_positions': 1}]"
"[{'base_pay': 85475.9}, {'shift_loading': 7039.69}, {'net': 68987.47}, {'kiwi saver employee':
2775.47}, {'ird_number': 68580250}, {'future_total_positions': 1}]","[{'base_pay': 39271.77},
{'shift_loading': 21877.81}, {'net': 52016.7}, {'SG': 7337.95}, {'emp_number': 75057690685746},
{'future_total_positions': 1}]"
"[{'base_pay': 75490.36}, {'shift_loading ': 19933.13}, {'net': 70848.52}, {'kiwi saver employee':
2862.7}, {'ird_number': 22655701}, {'future_total_positions': 1}]","[{'base_pay': 51001.83},
{'shift_loading': 12477.57}, {'net': 53647.58}, {'SG': 7617.53}, {'emp_number': 50862213247591},
{'future_total_positions': 1}]"
"[{'base_pay': 68712.07}, {'shift_loading': 32592.8}, {'net': 74612.61}, {'kiwi saver employee':
3039.15}, {'ird_number': 38559400}, {'future_total_positions': 1}]","[{'base_pay': 50443.09},
{'shift_loading': 14764.96}, {'net': 54857.63}, {'SG': 7824.97}, {'emp_number': 58102141196612},
{'future_total_positions': 1}]"
"[{'bese_pay': 87154.31}, {'shift_loading': 13226.32}, {'net': 74021.09}, {'kiwi saver employee':
3011.42}, {'ird_number': 81416354}, {'future_total_positions': 1}]","[{'base_pay': 46878.01},
{'shift_loading': 19047.58}, {'net': 55359.91}, {'SG': 7911.07}, {'emp_number': 46707232976489},
{'future_total_positions': 1}]"
"[{'base_pay': 91042.28}, {'shift_loading': 12010.7}, {'net': 75731.4}, {'kiwi saver employee':
3091.59}, {'ird_number': 14009019}, {'future_total_positions': 1}]","[{'base_pay': 45335.9},
{'shift_loading': 21496.03}, {'net': 55994.35}, {'SG': 8019.83}, {'emp_number': 64009445668931},
{'future_total_positions': 1}]"
"[{'base_pay': 90280.43}, {'shift_loading': 19870.22}, {'net': 80273.91}, {'kiwi saver employee':
3304.52}, {'ird_number': 36813679}, {'future_total_positions': 1}]","[{'base_pay': 53808.03},
{'shift_loading': 18124.3}, {'net': 59564.63}, {'SG': 8631.88}, {'emp_number': 11398533327998},
{'future_total_positions': 1}]"
"[{'base_pay': 96550.29}, {'shift_loading': 12335.76}, {'net': 79464.56}, {'kiwi saver employee':
3266.58}, {'ird_number': 78954590}, {'future_total_positions': 1}]","[{'base_pay': 67788.94},
{'shift_loading': 4194.39}, {'net': 59600.33}, {'SG': 8638.0}, {'emp_number': 36636652098927},
{'future_total_positions': 1}]"
